Ticker,Exchange,SP500Listed
EW,NYSE,True
EXC,NASDAQ,True
EXEL,NASDAQ,False
EXPD,NASDAQ,True
EXPE,NASDAQ,True
EXR,NYSE,True
F,NYSE,True
FANG,NASDAQ,True
FAST,NASDAQ,True
FBIN,NYSE,True
FCN,NYSE,False
FCUV,NASDAQ,False
FCX,NYSE,True
FDS,NYSE,True
FDX,NYSE,True
FE,NYSE,True
FFIE,NASDAQ,False
FFIV,NASDAQ,True
FHN,NYSE,True
FICO,NYSE,True
FIS,NYSE,True
FISV,NASDAQ,True
FITB,NASDAQ,True
FL,NYSE,False
FLO,NYSE,False
FLR,NYSE,False
FLS,NYSE,False
FLT,NYSE,True
FMC,NYSE,True
FMY,NYSE,True
FOSL,NASDAQ,False
FOX,NASDAQ,True
FOXA,NASDAQ,True
FRO,NYSE,False
FRT,NYSE,True
FRTX,NASDAQ,False
FSLR,NASDAQ,True
FTI,NYSE,False
FTNT,NASDAQ,True
FTV,NYSE,True
G,NYSE,False
GD,NYSE,True
GE,NYSE,True
GEF,NYSE,False
GEHC,NASDAQ,True
GEN,NASDAQ,True
GEO,NYSE,False
GERN,NASDAQ,False
GHC,NYSE,False
GILD,NASDAQ,True
GIS,NYSE,True
GL,NYSE,True
GLNG,NASDAQ,False
GLW,NYSE,True
GM,NYSE,True
GME,NYSE,False
GNRC,NYSE,True
GNT,NYSE,False
GNW,NYSE,False
GO,NASDAQ,False
GOLD,NYSE,False
GOOG,NASDAQ,True
GOOGL,NASDAQ,True
GP,NASDAQ,False
GPC,NYSE,True
GPN,NYSE,True
GPS,NYSE,False
GRMN,NYSE,True
GS,NYSE,True
GT,NASDAQ,False
GTLS,NYSE,False
GWW,NYSE,True
H,NYSE,False
HAE,NYSE,False
HAL,NYSE,True
HALO,NASDAQ,False
HAS,NASDAQ,True
HBAN,NASDAQ,True
HBI,NYSE,False
HCA,NYSE,True
HCP,NASDAQ,False
HD,NYSE,True
HDSN,NASDAQ,False
HES,NYSE,True
HI,NYSE,False
HIG,NYSE,True
HII,NYSE,True
HLT,NYSE,True
HMA,NYSE,False
HOG,NYSE,False
HOLX,NASDAQ,True
HON,NASDAQ,True
HP,NYSE,False
HPE,NYSE,True
HPK,NASDAQ,False
HPQ,NYSE,True
HRB,NYSE,False
HRL,NYSE,True
HSIC,NASDAQ,True
HST,NASDAQ,True
HSY,NYSE,True
HUM,NYSE,True
HWM,NYSE,True
HYMC,NASDAQ,False
IAC,NASDAQ,False
IBM,NYSE,True
ICE,NYSE,True
IDXX,NASDAQ,True
IEX,NYSE,True
IFF,NYSE,True
IGT,NYSE,False
ILMN,NASDAQ,True
INCY,NASDAQ,True
INGR,NYSE,False
INTC,NASDAQ,True
INTU,NASDAQ,True
INVH,NYSE,True
IP,NYSE,True
IPG,NYSE,True
IPGP,NASDAQ,False
IQV,NYSE,True
IR,NYSE,True
IRM,NYSE,True
IRT,NYSE,False
ISRG,NASDAQ,True
IT,NYSE,True
ITT,NYSE,False
ITW,NYSE,True
IVR,NYSE,False
IVZ,NYSE,True
J,NYSE,True
JBHT,NASDAQ,True
JBL,NYSE,True
JCI,NYSE,True
JD,NASDAQ,False
JEF,NYSE,False
JKHY,NASDAQ,True
JNJ,NYSE,True
JNPR,NYSE,True
JPM,NYSE,True
JWN,NYSE,False
K,NYSE,True
KBH,NYSE,False
KBR,NYSE,False
KDP,NASDAQ,True
KEY,NYSE,True
KEYS,NYSE,True
KHC,NASDAQ,True
KIM,NYSE,True
KLAC,NASDAQ,True
KMB,NYSE,True
KMI,NYSE,True
KMX,NYSE,True
KNSL,NYSE,False
KO,NYSE,True
KOS,NYSE,False
KR,NYSE,True
KSS,NYSE,False
L,NYSE,True
LDOS,NYSE,True
LEG,NYSE,False
LEN,NYSE,True
LH,NYSE,True
LHX,NYSE,True
LIFE,NASDAQ,False
LILAK,NASDAQ,False
LIN,NYSE,True
LKQ,NASDAQ,True
LLY,NYSE,True
LMT,NYSE,True
LNC,NYSE,False
LNT,NASDAQ,True
LNTH,NASDAQ,False
LOW,NYSE,True
LPX,NYSE,False
LRCX,NASDAQ,True
LSI,NYSE,False
LU,NYSE,False
LUMN,NYSE,False
LUV,NYSE,True
LVS,NYSE,True
LW,NYSE,True
LYB,NYSE,True
LYV,NYSE,True
M,NYSE,False
MA,NYSE,True
MAA,NYSE,True
MAC,NYSE,False
MAR,NASDAQ,True
MAS,NYSE,True
MAT,NASDAQ,False
MBI,NYSE,False
MCD,NYSE,True
MCHP,NASDAQ,True
MCK,NYSE,True
MCO,NYSE,True
MD,NYSE,False
MDLZ,NASDAQ,True
MDT,NYSE,True
MET,NYSE,True
META,NASDAQ,True
MGM,NYSE,True
MHK,NYSE,True
MIR,NYSE,False
MIRM,NASDAQ,False
MKC,NYSE,True
MKTX,NASDAQ,True
MLM,NYSE,True
MMC,NYSE,True
MMI,NYSE,False
MMM,NYSE,True
MNST,NASDAQ,True
MO,NYSE,True
MOH,NYSE,True
MOS,NYSE,True
MPC,NYSE,True
MPWR,NASDAQ,True
MRC,NYSE,False
MRK,NYSE,True
MRNA,NASDAQ,True
MRO,NYSE,True
MS,NYSE,True
MSCI,NYSE,True
MSFT,NASDAQ,True
MSI,NYSE,True
MT,NYSE,True
MTB,NYSE,True
MTCH,NASDAQ,True
MTD,NYSE,True
MTDR,NYSE,False
MTG,NYSE,False
MTW,NYSE,False
MU,NASDAQ,True
MUR,NYSE,False
MUSA,NYSE,False
NAVI,NASDAQ,False
NBR,NYSE,False
NC,NYSE,False
NCLH,NYSE,True
NCR,NYSE,False
NDAQ,NASDAQ,True
NDSN,NASDAQ,True
NE,NYSE,False
NEE,NYSE,True
NEM,NYSE,True
NEX,NYSE,False
NEXT,NASDAQ,False
NFG,NYSE,False
NFLX,NASDAQ,True
NI,NYSE,True
NJR,NYSE,False
NKE,NYSE,True
NKTR,NASDAQ,False
NOC,NYSE,True
NOV,NYSE,False
NOW,NYSE,True
NRG,NYSE,True
NSC,NYSE,True
NTAP,NASDAQ,True
NTRS,NASDAQ,True
NUE,NYSE,True
NVDA,NASDAQ,True
NVR,NYSE,True
NWL,NASDAQ,False
NWS,NASDAQ,True
NWSA,NASDAQ,True
NXPI,NASDAQ,True
NYCB,NYSE,False
NYT,NYSE,False
O,NYSE,True
ODFL,NASDAQ,True
ODP,NASDAQ,False
OGE,NYSE,False
OGN,NYSE,False
OI,NYSE,False
OKE,NYSE,True
OM,NASDAQ,False
OMC,NYSE,True
ON,NASDAQ,True
OPCH,NASDAQ,False
ORCL,NYSE,True
ORLY,NASDAQ,True
OTIS,NYSE,True
OVV,NYSE,False
OXY,NYSE,True
PAC,NYSE,False
PACW,NASDAQ,False
PARA,NASDAQ,True
PAYC,NYSE,True
PAYX,NASDAQ,True
PBF,NYSE,False
PBI,NYSE,False
PCAR,NASDAQ,True
PCG,NYSE,True
PCH,NASDAQ,False
PD,NYSE,False
PDCE,NASDAQ,False
PDCO,NASDAQ,False
PEAK,NYSE,True
PEG,NYSE,True
PENN,NASDAQ,False
PEP,NASDAQ,True
PFE,NYSE,True
PFG,NASDAQ,True
PG,NYSE,True
PGR,NYSE,True
PH,NYSE,True
PHM,NYSE,True
PINS,NYSE,False
PKG,NYSE,True
PKI,NYSE,True
PLD,NYSE,True
PLL,NASDAQ,True
PM,NYSE,True
PNC,NYSE,True
PNR,NYSE,True
PNW,NYSE,True
PODD,NASDAQ,True
POOL,NASDAQ,True
POR,NYSE,False
POST,NYSE,False
PPC,NASDAQ,False
PPG,NYSE,True
PPL,NYSE,True
PRGO,NYSE,False
PRU,NYSE,True
PSA,NYSE,True
PSX,NYSE,True
PTC,NASDAQ,True
PTEN,NASDAQ,False
PVH,NYSE,False
PWR,NYSE,True
PX,NYSE,False
PXD,NYSE,True
PYPL,NASDAQ,True
QCOM,NASDAQ,True
QLYS,NASDAQ,False
QRVO,NASDAQ,True
R,NYSE,False
RAD,NYSE,False
RCL,NYSE,True
RCM,NASDAQ,False
RE,NYSE,True
REAL,NASDAQ,False
REG,NASDAQ,True
REGN,NASDAQ,True
RF,NYSE,True
RHI,NYSE,True
RIG,NYSE,False
RJF,NYSE,True
RL,NYSE,True
RMD,NYSE,True
ROK,NYSE,True
ROL,NYSE,True
ROP,NYSE,True
ROST,NASDAQ,True
RRC,NYSE,False
RS,NYSE,False
RSG,NYSE,True
RTX,NYSE,True
RYAN,NYSE,False
RYI,NYSE,False
S,NYSE,False
SANM,NASDAQ,False
SB,NYSE,False
SBAC,NASDAQ,True
SBSW,NYSE,False
SBUX,NASDAQ,True
SCHW,NYSE,True
SCI,NYSE,False
SD,NYSE,False
SDRL,NYSE,False
SDS,NYSEARCA,False
SE,NYSE,False
SEDG,NASDAQ,True
SEE,NYSE,True
SHW,NYSE,True
SIG,NYSE,False
SIGA,NASDAQ,False
SII,NYSE,False
SITM,NASDAQ,False
SJM,NYSE,True
SLB,NYSE,True
SLG,NYSE,False
SLM,NASDAQ,False
SNA,NYSE,True
SNPS,NASDAQ,True
SNT,NASDAQ,False
SNV,NYSE,False
SO,NYSE,True
SOI,NYSE,False
SPG,NYSE,True
SPGI,NYSE,True
SPRU,NYSE,False
SRCL,NASDAQ,False
SRE,NYSE,True
SSP,NASDAQ,False
STE,NYSE,True
STLD,NASDAQ,True
STNG,NYSE,False
STR,NYSE,False
STT,NYSE,True
STX,NASDAQ,True
STZ,NYSE,True
SU,NYSE,False
SUN,NYSE,False
SWAV,NASDAQ,False
SWK,NYSE,True
SWKS,NASDAQ,True
SWN,NYSE,True
SWX,NYSE,False
SYF,NYSE,True
SYK,NYSE,True
SYY,NYSE,True
T,NYSE,True
TAP,NYSE,True
TDC,NYSE,False
TDG,NYSE,True
TDW,NYSE,False
TDY,NYSE,True
TECH,NASDAQ,True
TECK,NYSE,True
TEL,NYSE,True
TER,NASDAQ,True
TEX,NYSE,False
TFC,NYSE,True
TFPM,NYSE,False
TFX,NYSE,True
TGNA,NYSE,False
TGT,NYSE,True
TH,NASDAQ,False
THC,NYSE,False
TJX,NYSE,True
TKR,NYSE,False
TM,NYSE,False
TMC,NASDAQ,False
TMDX,NASDAQ,False
TMO,NYSE,True
TMUS,NASDAQ,True
TNK,NYSE,False
TPR,NYSE,True
TRGP,NYSE,True
TRIP,NASDAQ,False
TRMB,NASDAQ,True
TROW,NASDAQ,True
