Date,Average,Average_Predicted,PercentageDeviation
2008-02-21,0.009052491617998582,0.006342906039208174,0.29931931374596193
2008-02-22,0.009072924794518489,0.006444784812629223,0.289668441148888
2008-02-25,0.009163438700424844,0.006443260237574577,0.2968512751358452
2008-02-26,0.009466305659833522,0.006516573950648308,0.311603260573047
2008-02-27,0.010846136117223154,0.006661091931164265,0.3858557684347365
2008-02-28,0.011257332686032816,0.006769550032913685,0.39865417308730755
2008-02-29,0.010842420994219535,0.006958345416933298,0.3582295484889371
2008-03-03,0.01081590852551189,0.007313097827136517,0.3238572783888808
2008-03-04,0.010654300674854459,0.007687265984714031,0.2784823500563502
2008-03-05,0.011113878277324888,0.00791742280125618,0.28760936518355457
2008-03-06,0.010745996665352876,0.008185538463294506,0.23827089117883044
2008-03-07,0.01061807822556917,0.008390841074287891,0.20975896993468332
2008-03-10,0.011398507360170342,0.008563987910747528,0.24867461675968547
2008-03-11,0.011747053445600793,0.0087196733802557,0.25771399435309716
2008-03-12,0.011965485791290854,0.008815139532089233,0.26328611425827925
2008-03-13,0.01194251957635939,0.008894242346286774,0.25524573860500765
2008-03-14,0.011981106194828799,0.00889720767736435,0.25739681022070404
2008-03-17,0.011602416952300803,0.008841948583722115,0.23792183817624976
2008-03-18,0.012255012081731988,0.008800046518445015,0.2819226566440632
2008-03-19,0.01264932172779793,0.00881597027182579,0.30304798458466214
2008-03-20,0.013552856529200845,0.008942261338233948,0.3401936101834293
2008-03-24,0.014035400346602738,0.009060397744178772,0.3544610399109964
2008-03-25,0.013923102310356978,0.009190835058689117,0.33988597843942214
2008-03-26,0.01368187261896289,0.009394293650984764,0.31337661790796095
2008-03-27,0.013327247241344702,0.010007765144109726,0.24907484922595646
2008-03-28,0.013141491091163745,0.010637038387358189,0.19057599220909827
2008-03-31,0.0127145052495887,0.010976135730743408,0.1367233317160749
2008-04-01,0.012987060182672396,0.011179866269230843,0.1391534256422981
